,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
0,playa vicente,MX,17.8333,-95.8167,89.64,51,100,2.26,1621210423
1,kalmunai,LK,7.4167,81.8167,80.71,80,29,3.06,1621210704
2,grand river south east,MU,,,,,,,
3,rikitea,PF,-23.1203,-134.9692,75.07,59,100,9.62,1621210704
4,linxia,CN,35.6003,103.2064,52.63,42,100,1.32,1621210705
5,thompson,CA,55.7435,-97.8558,37.4,65,75,16.11,1621210514
6,punta arenas,CL,-53.15,-70.9167,44.6,87,90,16.11,1621210705
7,alice springs,AU,-23.7,133.8833,50,50,0,5.75,1621210706
8,college,US,64.8569,-147.8028,55.4,76,75,10.36,1621210492
9,albany,AU,-35.0169,117.8917,64.4,55,40,14.97,1621210706
10,saleaula,WS,,,,,,,
11,bolshiye klyuchishchi,RU,,,,,,,
12,butaritari,KI,3.0707,172.7902,83.01,78,100,13.62,1621210707
13,mahebourg,MU,-20.4081,57.7,77,73,75,13.8,1621210708
14,dhidhdhoo,MV,6.8833,73.1,84.27,74,83,18.25,1621210708
15,ushuaia,AR,-54.8,-68.3,42.8,75,20,11.5,1621210709
16,la ronge,CA,55.1001,-105.2842,55.4,38,96,5.75,1621210709
17,nikolskoye,RU,59.7035,30.7861,50,87,18,2.24,1621210710
18,saint-philippe,RE,-21.3585,55.7679,75.2,56,20,6.91,1621210710
19,yulara,AU,-25.2406,130.9889,50,57,1,12.66,1621210710
20,severo-kurilsk,RU,50.6789,156.125,38.08,95,100,18.25,1621210711
21,mar del plata,AR,-38.0023,-57.5575,55.99,82,40,4.61,1621210500
22,kermen,BG,42.5,26.25,53.6,94,40,4.25,1621210711
23,puerto ayora,EC,-0.7393,-90.3518,75.99,93,40,8.01,1621210712
24,marawi,SD,18.4833,31.8167,84.45,4,0,8.32,1621210712
25,vaini,TO,-21.2,-175.2,82.4,83,40,8.05,1621210713
26,avarua,CK,-21.2078,-159.775,80.6,69,40,8.05,1621210713
27,east london,ZA,-33.0153,27.9116,59,60,38,14.76,1621210714
28,flinders,AU,-34.5833,150.8552,63,54,5,4,1621210714
